"id","parent_id","root_id"
"1381","4704","8"
"1382","6133","8"
"1383","6147","8"
"1384","6099","8"
"1385","7722","8"
"1388","6026","8"
"1389","6224","8"
"1391","90","8"
"1392","774","8"
"1394","1721","8"
"1395","6208","8"
"1396","10548","8"
"1399","6086","8"
"16013","3704","8"
"1402","6092","8"
"1403","6146","8"
"1404","1729","8"
"11207","1957","8"
"1406","1189","8"
"1407","90","8"
"1408","1361","8"
"1411","442","8"
"1412","322","8"
"1413","372","8"
"1414","6061","8"
"1415","10188","8"
"1416","1254","8"
"1417","6148","8"
"1418","3786","8"
"1419","6112","8"
"1420","1998","8"
"1421","268","8"
"1422","3805","8"
"1423","6320","8"
"1426","242","8"
"1427","519","8"
"1428","519","8"
"1429","2345","8"
"1430","3934","8"
"1432","3801","8"
"1433","1721","8"
"1435","6100","8"
"1437","6191","8"
"1438","6282","8"
"1439","3786","8"
"1440","3425","8"
"1441","2202","8"
"1442","3743","8"
"1443","1189","8"
"1444","6736","8"
"1445","3693","8"
"1447","279","8"
"1448","6046","8"
"1449","6154","8"
"1450","1189","8"
"1451","1728","8"
"1452","1014","8"
"1453","6243","8"
"1454","1600","8"
"1455","6162","8"
"1456","6099","8"
"1457","6098","8"
"1458","1174","8"
"1459","693","8"
"1460","6152","8"
"1461","6100","8"
"1463","1942","8"
"1464","6080","8"
"1465","1014","8"
"1467","346","8"
"1468","628","8"
"1469","3767","8"
"1470","6149","8"
"1471","889","8"
"1472","889","8"
"1474","889","8"
"1475","6152","8"
"1477","6075","8"
"1479","35","1"
"1480","6075","8"
"1482","1189","8"
"1483","6076","8"
"1484","11950","8"
"1485","6208","8"
"1486","3857","8"
"1487","1488","8"
"1488","6075","8"
"1489","1261","8"
"1490","1189","8"
"1491","1189","8"
"1492","1189","8"
"1495","6075","8"
"1496","1688","8"
"1497","1495","8"
"1498","736","8"
"1499","1189","8"
"1500","1030","9"
"1501","1715","8"
"1502","6092","8"
"1503","1728","8"
"1505","4870","9"
"1507","3756","8"
"1508","279","8"
"1510","4391","8"
"1511","1721","8"
"1514","242","8"
"1515","268","8"
"1516","6102","8"
"1517","6265","8"
"1518","6099","8"
"1520","1299","8"
"1521","3026","8"
"1522","6065","8"
"1523","6156","8"
"1524","6295","8"
"1525","322","8"
"1526","1284","8"
"1527","1721","8"
"1528","1293","8"
"1529","188","8"
"1530","6160","8"
"1531","1889","8"
"1532","6157","8"
"1533","6059","8"
"1534","3920","8"
"1536","2470","8"
"1539","2131","8"
"1540","1189","8"
"1541","1698","8"
"1543","14888","8"
"1544","3798","8"
"1545","1998","8"
"1546","451","8"
"1547","534","8"
"1548","6321","8"
"1549","6321","8"
"1550","6092","8"
"1551","6035","8"
"1552","3798","8"
"1553","6024","8"
"1555","1189","8"
"1556","279","8"
"1558","340","8"
"1559","798","8"
"1560","1653","8"
"1562","6190","8"
"1563","6190","8"
"1565","3026","8"
"1566","1284","8"
"1567","451","8"
"1568","1492","8"
"1569","514","8"
"1571","3795","8"
"1572","1332","8"
"1573","1543","8"
"1574","774","8"
"1575","3796","8"
"1576","3680","8"
"1577","1698","8"
"1578","1014","8"
"1580","3277","6"
"1582","957","8"
"1583","346","8"
"1584","2134","8"
"1585","2647","8"
"1587","3718","8"
"1589","6211","8"
"1590","6117","8"
"1591","1685","8"
"1594","3830","8"
"1595","3830","8"
"1597","1053","9"
"1599","3719","8"
"1600","6117","8"
"1601","372","8"
"1603","1576","8"
"1604","2543","8"
"1605","6041","8"
"1606","6001","8"
"1607","268","8"
"1608","5923","8"
"1610","1655","8"
"1611","1189","8"
"1612","3801","8"
"1613","1576","8"
"1615","6105","8"
"1617","1189","8"
"1618","6012","8"
"1619","3801","8"
"1620","3689","8"
"1621","6191","8"
"1623","1629","8"
"1624","6086","8"
"1625","1729","8"
"1626","3795","8"
"1627","1698","8"
"1628","1698","8"
"1629","409","8"
"1630","261","8"
