"movie_id","abstract"
"28181","Las vidas íntimas de una familia. La lucha por sobrevivir a la carga que arrastramos de nuestro origen, de nuestra educación… de nuestros padres. LA ISLA INTERIOR es una historia sobre el miedo a aquello que podemos heredar. Sobre el miedo a la locura. Gracia, Martín y Coral son tres hermanos con vidas muy diferentes que luchan por salir adelante. Tres náufragos de sí mismos. "
"23189","Diego es un médico tan acostumbrado a manejar situaciones límite que se ha inmunizado ante el dolor de los demás. Se ha desconectado de su trabajo, de su pareja y de su compromiso como padre. Durante un inquietante encuentro, a Diego le amenazan con una pistola. Horas después sólo recuerda el sonido de una detonación y la extraña sensación de haber recibido algo más que un disparo."
"19903","Kansas, forma junto a sus amigas cheerleaders el arquetipo del Equipo-A americano del siglo 21. Sus grandes preocupaciones son ir de compras, consultar la Ouija, elegir el sabor de la pizza que les llevarán a domicilio y charlar de sus conquistas, reales e imposibles."
"12427","Festival de Venecia: Premio Especial del Jurado, Mejor Guión."
"10024","Emocionante drama sobre la ética de la vida y la muerte, la familia y la responsabilidad, la honestidad y el amor. Es una mirada apasionada y compasiva de una familia que pasa duros momentos."
"28714","Flipy es un niño de 12 años que de la noche a la mañana se convierte en un adulto. Aprovechando su nueva condición, decide seguir a Violeta, su amor platónico, hasta el campamento de verano donde es monitora. Una vez allí, y con la ayuda de sus amigos Jeremías y Lorenzo, Flipy intentará conquistarla.  "
"28716","Andrés alcanza la frontera de México para intentar cruzar a Estados Unidos. Después de varios intentos, descubre que la ciudad que lo adopta ―Tijuana― no es fácil. Entretanto, Andrés tiene que hacer frente a sus sentimientos, que incluyen lo que dejó en su pueblo y lo que encuentra ahora en Tijuana: Cata, Ela y Asensio."
"28753","En uno de esos barrios que todas las ciudades tienen, con una de esas plazas que todos esos barrios tienen, pasan las horas tres jóvenes que empiezan a dejar de serlo. Pero la aparición de Sunci, una chica dispuesta a formar pareja con Roberto Carlos, rompe el equilibrio que parecía anclarlos a ese mundo de vagos."
"28756","Historia de un adolescente sensible, lleno de ilusión y de poesía; un chico introvertido, con un enorme mundo interior, que vive en un sainete lamentable. Durante un curso, a David le golpea la realidad: descubre que sus padres, que regentan una bollería, no son los mejores padres que le podían haber tocado. Descubre los primeros suspensos...Y sobre todo descubre a Gloria, una chica del instituto."
"34959","Documental sobre la vida de Manuel Delgado Villegas, \"El Arropiero\". El que posiblemente fue el mayor asesino en serie de la historia de España confesó 48 crímenes, de los que sólo se investigaron 22 y se probó su participación en 7. La policía y las autoridades, incapaces de sobrellevar el caso, lo internaron de por vida, sin que se celebrara un solo juicio. Murió en 1998. "
"21914","El subteniente estadounidense Roy Miller y su equipo de inspectores son enviados a Iraq para encontrar armas químicas bajo el suelo del desierto. Intentando evitar las trampas que se alzan en su camino, sólo descubren un elaborado plan para hacer fracasar su misión. No tardará en descubrir que, en un momento dificil y en una region explosiva, el arma más dificil de encontrar es la verdad."
"27720","Tras la Guerra Civil, el músico Jorge del Pino, el ventrílocuo Enrique Corgo, la cupletista Rocío Moliner y el huérfano Miguel forman una curiosa familia que intenta vivir y pelear cada día, con sus miserias y sus alegrías, pero con el aliciente de su música y sus canciones.  A falta de pan, buenos les resultan los aplausos. Sus decisiones se convertirán en cuestiones de supervivencia."
"7445","Es la historia de los hermanos Cahill. Sam es un marine, casado con Grace y con dos hijas, a punto de embarcar en misión a Afganistán. Tommy es un perdedor que acaba de salir de la cárcel. Cuando el avión de Sam es derribado, se le declara desaparecido en combate y Tommy se hace cargo de la familia de su hermano. Pero Sam no ha muerto y su vuelta a casa hará temblar los cimientos de su familia."
"16002","Año 1937. Las tropas japonesas han entrado en la capital provisional de China, acción conocida como “La violación de Nanjing”. Rodada con gran angular en blanco y negro, la película alterna el punto de vista de los japoneses y los chinos para hacer un retrato impresionista y convincente de la vida cotidiana en la devastada ciudad. Muestra los dilemas éticos que sufren los supervivientes de guerra."
