"movie_id","runtime","budget","revenue","homepage"
"479","99","46000000","107196498",""
"480","114","0","30787356","http://monsoonwedding.indiatimes.com/"
"481","86","0","0","http://www.7virgenes.com/"
"482","100","4000000","12121618",""
"483","124","9500000","14560247",""
"488","105","0","10750000",""
"489","122","10000000","225900000",""
"490","92","0","0",""
"491","90","0","0",""
"492","112","13000000","0",""
"493","104","1978000","10000000",""
"494","112","2142000","1458000",""
"496","82","18000000","261572744","http://www.boratmovie.com/"
"497","188","60000000","284600000","http://thegreenmile.warnerbros.com/"
"499","90","0","0",""
"500","99","1200000","2832029",""
"501","103","0","0",""
"502","112","0","0",""
"503","99","160000000","181674817","http://www2.warnerbros.com/poseidon/"
"504","110","8000000","60378584","http://www.monster-derfilm.de/"
"505","94","0","7237794",""
"506","130","3000000","0",""
"507","96","1500000","418961",""
"508","135","40000000","244931766","http://www.loveactually.com/"
"509","124","42000000","363889678","http://www.notting-hill.com/"
"510","133","4400000","108981275",""
"511","179","31300000","0",""
"512","96","4000000","31584901","http://www.scoopmovie.net/"
"513","108","0","0",""
"521","104","1400000","0",""
"522","127","18000000","5887457",""
"523","92","0","0","http://www.requiem-derfilm.de"
"524","178","52000000","110400000",""
"525","133","27000000","115229890","http://www.bluesbrothers.com/"
"526","121","20000000","0",""
"527","99","0","0","http://www.finelinefeatures.com/warriors/"
"530","23","0","0","http://www.wallaceandgromit.com/home2.asp"
"531","30","0","0",""
"532","30","0","0",""
"533","85","30000000","192452832","http://java.europe.yahoo.com/uk/uip/wallaceandgromit/index.html"
"534","114","200000000","371353001",""
"535","95","0","0",""
"536","60","0","0",""
"537","93","0","0",""
"538","52","10000","0",""
"539","106","806948","32000000",""
"540","91","0","96793",""
"541","119","0","0",""
"542","118","1800000","26996738","http://padreamaro.ad2.com/site/home_eng.htm"
"543","84","0","0",""
"544","119","23000000","369884651","http://www.aboutmary.com/"
"546","103","1000000","13350369","http://www.transamerica-movie.com/"
"547","170","60000000","186883563",""
"548","88","0","0",""
"549","108","2962051","3011195",""
"550","139","63000000","100853753","http://www.foxmovies.com/fightclub/"
"551","117","5000000","0",""
"552","114","0","0","http://www.brotundtulpen.de/"
"553","178","10000000","16680836","http://www.dogville.dk/"
"554","100","0","0",""
"555","94","0","0","http://www.luecke-im-system.de/"
"90071","120","0","0",""
"557","121","139000000","806000000","http://spiderman.sonypictures.com/index.php"
"558","127","200000000","783766341","http://www.spider-man-2.de/"
"559","140","300000001","806742000","http://www.sonypictures.com/movies/spiderman3"
"560","99","0","0",""
